label,sublabel,description,styles
燃やせるごみ,,,img/moyasanai02.svg
資源ごみ,,,img/shigen02.svg
燃やせないごみ,,,img/moyasu02.svg
粗大系燃やせるごみ,,,img/bin02.svg
